feature,rank,pct_nonnull,xs_var_share,market_wide,raw_topqIC,raw_IR,tsz_topqIC,tsz_IR,lift_absIR,max_corr_top
low_close_ratio,5,100.0,0.9131921012122124,False,0.020123848281754585,0.2141247627655264,-0.016161541500290533,-0.18958861156155754,-0.024536151203968848,1.0
atr_regime_high,6,100.0,0.8006924600776494,False,0.00016431374246440774,0.0032336987244778134,0.04622243706954065,0.636054446327643,0.6328207476031652,1.0
ATR%,10,100.0,0.9498782244191922,False,0.12495847485268163,0.9056176800971465,0.0394372883051228,0.5277602142225267,-0.37785746587461977,1.0
atr_percentage,15,100.0,0.9498782243086115,False,0.12495854241812747,0.9056179082834519,0.039437263857578994,0.5277603943597249,-0.377857513923727,0.9999999999999998
high_close_ratio,18,100.0,0.8888138249552457,False,0.09035212359952918,0.9817884094566139,0.052539770242861425,0.6152087210130386,-0.36657968844357536,0.32983295755510483
HC_Ratio,22,100.0,0.8888138249552457,False,0.09035212359952918,0.9817884094566139,0.052539770242861425,0.6152087210130386,-0.36657968844357536,0.32983295755510483
Volume%,23,100.0,0.8199800274604886,False,0.03696788685003141,0.7724530938432926,0.041700598310710435,0.8914549946964763,0.11900190085318363,0.23667735752636904
dollar_volume_zscore,26,100.0,0.8368632379846824,False,0.04496290917542751,0.7972032641573605,0.047195146207736995,0.9313530834880557,0.13414981933069514,0.2445471824475578
High_Close_Ratio,28,100.0,0.8888138249552457,False,0.09035212359952918,0.9817884094566139,0.052539770242861425,0.6152087210130386,-0.36657968844357536,0.32983295755510483
information_rate_of_change,29,100.0,0.9041959687465853,False,0.11933714876149963,0.8629918184968153,0.00914541551668762,0.12164852528215488,-0.7413432932146604,0.6620129764111727
corr_DIA,31,96.56033322984581,0.8985582048357564,False,-0.048000852354135065,-0.384870161999707,0.0008552267313749389,0.009925004500519443,-0.37494515749918755,0.019522336749493642
