feature,cls,xs_share,pct_nonnull,model_importance,model_rank,raw_IR,tsz_IR,lift_absIR
volume_volatility,market_wide,0.03349309042096138,100.0,0.0012950262753292918,410.0,,,
liquidity_stress_3d,market_wide,0.07464621216058731,100.0,0.0012149084359407425,462.0,,,
time_reversal_asymmetry,market_wide,0.07708364725112915,100.0,0.0012091387761756778,467.0,,,
14ma%_change,market_wide,0.0012867209408484869,100.0,0.001189221628010273,481.0,,,
Price_Differential_Ratio_ExtremeLow,market_wide,0.0,100.0,0.0,580.0,,,
hurst_exponent,market_wide,0.0,0.0,0.0,596.0,,,
low_close_ratio,stock_specific,0.8836270570755005,100.0,0.009988183155655861,5.0,0.2141247627655264,-0.1895886115615575,-0.024536151203968876
atr_regime_high,stock_specific,0.8450592756271362,100.0,0.009742232039570808,6.0,0.0032336987244778173,0.6360544463276427,0.632820747603165
ATR%,stock_specific,0.9557358622550964,100.0,0.005327434279024601,10.0,0.9056176800971467,0.5277602142225267,-0.37785746587462
atr_percentage,stock_specific,0.9557358622550964,100.0,0.0038926303386688232,15.0,0.9056179082834519,0.5277603943597249,-0.377857513923727
high_close_ratio,stock_specific,0.854267954826355,100.0,0.003628766629844904,18.0,0.981788409456614,0.6152087210130386,-0.36657968844357547
HC_Ratio,stock_specific,0.854267954826355,100.0,0.0031351977959275246,22.0,0.981788409456614,0.6152087210130386,-0.36657968844357547
Volume%,stock_specific,0.730253279209137,100.0,0.003102204529568553,23.0,0.7724530938432926,0.8914549946964763,0.11900190085318363
HC_Predict_Regime,stock_specific,0.832850992679596,100.0,0.0029966861475259066,25.0,0.9931271524297655,0.5618830735668483,-0.43124407886291716
dollar_volume_zscore,stock_specific,0.7531567811965942,100.0,0.0029849980492144823,26.0,0.7972032641573604,0.9313530834880555,0.13414981933069503
High_Close_Ratio,stock_specific,0.854267954826355,100.0,0.002849486656486988,28.0,0.981788409456614,0.6152087210130386,-0.36657968844357547
information_rate_of_change,stock_specific,0.9031503796577454,100.0,0.002762748161330819,29.0,0.8629918184968153,0.12164852528215488,-0.7413432932146604
corr_DIA,stock_specific,0.8761675953865051,96.56033322984581,0.002691911533474922,31.0,-0.384870161999707,0.00992500450051944,-0.37494515749918755
corr_IWM,stock_specific,0.9382417798042297,96.56033322984581,0.002649288857355714,33.0,-0.19714528465800082,-0.01161575186098795,-0.18552953279701287
dollar_volume_ratio_252d,stock_specific,0.6996477246284485,100.0,0.002463187323883176,36.0,0.6800542311104579,0.9296738455160785,0.24961961440562053
atr_percentile_rank,stock_specific,0.7908412218093872,100.0,0.002459865529090166,38.0,0.021049213541766466,0.48660060899196855,0.4655513954502021
High_Low,stock_specific,0.8662996888160706,100.0,0.0024367328733205795,40.0,1.0583537055399623,0.6675248752327289,-0.3908288303072335
percent_range,stock_specific,0.8662996292114258,100.0,0.0022595454938709736,61.0,1.0583517111467906,0.6675266291938052,-0.3908250819529854
Volume%_rolling_90,stock_specific,0.729873538017273,100.0,0.0022505605593323708,63.0,0.7622479390841561,0.9469934856078013,0.18474554652364517
Rolling_Mean_28,stock_specific,1.0435395240783691,100.0,0.00217226124368608,83.0,-0.6411836267539699,-0.02433431276907389,-0.616849313984896
intraday_range_pct,stock_specific,0.8662996888160706,100.0,0.0021702044177800417,84.0,1.0583537055399623,0.6675248752327289,-0.3908288303072335
