feature,pct_nonnull,pct_zero,n_inf,mean,std,skew,kurtosis,p01,p50,p99,maxabs,tail_mass_99,between_ticker_var_share,lag1_autocorr
dollar_volume_ratio_252d,100.0,0.0,0,1.0814023051776869,1.0323902892999446,33.82753637487395,3778.0269387326534,0.28858522564172745,0.880906492471695,4.205990743637086,186.8274383544922,1.0001638552554417,0.2252558,0.36698350009024977
atr_percentile_rank,100.0,1.5755976404843215,0,47.06289522205868,29.791265217607044,0.06335081783868597,-1.2377653983095303,0.0,46.42856979370117,99.6031723022461,100.0,0.8731760322881094,0.3578901,0.8833229883487701
price_position_50d,100.0,0.09895995032598573,0,0.5939000190127438,0.28757591196757215,-0.40178312561645596,-1.0568280071907878,0.016064147874712945,0.6460952162742615,0.994977713227272,1.0,1.0001638552554417,0.25062633,0.8622940334430208
sustained_volume_burst_count,100.0,95.8676135775639,0,0.04215607644278865,0.2050765532989657,4.850372682995531,23.360539887145453,0.0,0.0,1.0,3.0,0.08257442478181379,0.1764749,0.45976684188448175
volume_spike_ratio,100.0,0.0,0,1.0395966065999391,0.7532185088850276,21.18662087493995,1602.94479466188,0.31120027124881744,0.8965295851230621,3.494391262531284,86.99791717529297,1.0001638552554417,0.049593616,0.2290031305143805
