feature,tdmd_ic,tdmd_ir,tdmd_days,global_ic,global_ir,model_rank,abs_tdmd_ir
14ma%_count,0.06310354004657695,0.36716646621987814,71,0.018477809892979404,0.1357819711203585,479.0,0.36716646621987814
Mean_Reversion_Z_Score_28_std_1,0.05574401734014498,0.33199392329364824,71,0.014287277482490125,0.10646644940330031,299.0,0.33199392329364824
dollar_volume_std_252,-0.0337504845554244,-0.3273742710779601,71,-0.00737403886996144,-0.08344619522594668,237.0,0.3273742710779601
Lyapunov_Exponent_MA,0.0603082575159563,0.32673171083114355,71,0.013465790753252058,0.09025609121168425,311.0,0.32673171083114355
dollar_volume_ratio_252d,0.042264397439732884,0.3143810033610697,71,0.022348635273468358,0.31340697505431475,36.0,0.3143810033610697
Mean_Reversion_Z_Score_90_std_1,0.05582418485283675,0.3127787670865689,71,0.01870215730546559,0.14187164733954655,430.0,0.3127787670865689
Price_Differential_Ratio_InfoDecay_5d,0.027763051995953476,0.3123543587826012,71,0.006110142955168977,0.14614714880812069,406.0,0.3123543587826012
Volume_Spectral_Splatter,0.028676571378749603,0.31164603321337275,71,0.003634055058100855,0.11051058859729408,522.0,0.31164603321337275
Weighted_Close_Change_Velocity,0.05184262083499858,0.31161739988955384,71,0.026059177601242142,0.19807952435409265,393.0,0.31161739988955384
N4_SpectralEnt,0.03593175258947269,0.3013910410229463,71,0.018243869422154405,0.2628618408819847,,0.3013910410229463
dvamr_probability,0.03353186018168399,0.2932819860856389,71,0.0034395049419731942,0.03627673173462411,359.0,0.2932819860856389
Distance to Resistance (%),-0.05238463676364532,-0.28927751050829426,71,-0.011049786906840893,-0.07647377801499633,293.0,0.28927751050829426
Dynamic_RSI,0.051725596573062915,0.28816277365184184,71,0.009761825549680424,0.06300655228986261,372.0,0.28816277365184184
volume_entropy,0.03693950878861399,0.2878807151214771,71,0.017171894973322055,0.22782115152946333,316.0,0.2878807151214771
dollar_volume_zscore,0.039406787646074345,0.28742129094164803,71,0.02074170390454368,0.2827273429927579,26.0,0.28742129094164803
Distance to Support (%),0.05111173535821146,0.28711200931310127,71,0.009754957752053052,0.0707698015993721,279.0,0.28711200931310127
atr_regime_low,-0.03517701616721446,-0.28563887156394513,71,-0.012956214395734458,-0.21991348736297067,148.0,0.28563887156394513
autocorrelation,-0.03132746193845183,-0.27872848717021803,71,-0.011168441946404624,-0.1944858989508078,305.0,0.27872848717021803
VWAP%_from_high,0.04763336387131599,0.2784923247229372,71,0.024017095568697754,0.1847516965027909,186.0,0.2784923247229372
liquidity_stress_3d,0.03881274528577979,0.27836647286652527,71,0.024457981995354223,0.34745061864697085,462.0,0.27836647286652527
trend_direction_50d,0.04631197995224123,0.27441873554704466,71,0.01095717737386548,0.09037299333386437,568.0,0.27441873554704466
Market_Regime,-0.04631197995224123,-0.27441873554704466,71,-0.01095717737386548,-0.09037299333386437,438.0,0.27441873554704466
Trend_Direction,0.04631197995224123,0.27441873554704466,71,0.01095717737386548,0.09037299333386437,584.0,0.27441873554704466
Mean_Reversion_Z_Score_151_std_3,0.050247870059566026,0.2692897235042151,71,0.019088627591614435,0.13560431836089845,461.0,0.2692897235042151
return_5d_abs,-0.03173040309974658,-0.2605230502546108,71,-0.00381023570400697,-0.048009417257478725,433.0,0.2605230502546108
price_position_100d,0.04728811388653446,0.2585186234475467,71,0.014790557608306026,0.10969761197697364,490.0,0.2585186234475467
Perc_Diff,0.04857259580851495,0.25575444739941205,71,0.017789035413259442,0.10671565584133151,153.0,0.25575444739941205
time_between_extremes,0.04096885163528438,0.2553556318130032,71,0.0052068983123773815,0.04889129601864616,424.0,0.2553556318130032
price_position_50d,0.04541921476053039,0.24949127615806296,71,0.008420797573298952,0.06151789485477354,418.0,0.24949127615806296
return_20d,0.044186185993438744,0.24434132478712609,71,0.01279628823701925,0.08586631642212046,347.0,0.24434132478712609
percent_from_high,0.04505402253054695,0.242448956536507,71,0.023354881598032274,0.16804307945320932,195.0,0.242448956536507
cv_10d,-0.030440087033314044,-0.24187210360964198,71,-0.00683683433245041,-0.06591106303601053,247.0,0.24187210360964198
Price_Differential_Ratio_SignalPersistence,0.02498594145675375,0.2404838808126387,71,0.0030938791687385356,0.06120526242625649,270.0,0.2404838808126387
atr_percentile_rank,0.03264522086908735,0.239675667954295,71,0.013278690649628203,0.17947468613560516,38.0,0.239675667954295
Price_Differential_Ratio_Autocorr_5d,-0.022678965180390077,-0.23895741022690548,71,-0.005987883458074261,-0.12139905001427254,503.0,0.23895741022690548
distance_from_sma_50d,0.04434339487177051,0.2378125712593455,71,0.009269352924033053,0.0626264670505857,367.0,0.2378125712593455
