parent,parent_sep,variant,v_auc,v_sep,v_consistency,tail_ir,flip_rate,lift,redundancy,range_corr,days
momentum_score,0.021570317080057855,expand3,0.5507627355350713,0.05076273553507127,0.6825396825396826,0.5210814279607383,0.46774193548387094,0.029192418455013414,0.343696916436169,0.13496298164244414,63
momentum_score,0.021570317080057855,expand5,0.5496590880720948,0.04965908807209485,0.6825396825396826,0.5143587889319949,0.43548387096774194,0.028088770992036993,0.3229510744032744,0.13165021333247262,63
Mean_Reversion_Z_Score_151_std_3,0.027117548824733717,accel,0.5460917139652522,0.046091713965252246,0.6666666666666666,0.44473295119108897,0.3225806451612903,0.01897416514051853,0.15270815464546436,0.0399201675285209,63
trading_signal_composite,0.03338233960862169,expand3,0.550797770189995,0.050797770189994984,0.7619047619047619,0.5313879502128651,0.4032258064516129,0.017415430581373292,0.37310156798738886,0.2860584337671115,63
trading_signal_composite,0.03338233960862169,expand5,0.5499659118980701,0.04996591189807009,0.746031746031746,0.5140383802531044,0.4032258064516129,0.0165835722894484,0.3705472800825751,0.29778201617002803,63
low_close_ratio,0.039408809193602456,over_close,0.5456604314432241,0.04566043144322407,0.7230769230769231,0.47803514857090373,0.328125,0.006251622249621613,0.6044537290754034,0.34458730560029016,65
