feature,auc,sep,consistency,cohens_d,pool_ic,family,n_days,model_rank
G_Price_Volatility_Trend_Measure,0.5567299622780882,0.05672996227808824,0.7692307692307693,0.1769533008337021,-0.04351959305904496,trend,65,222.0
mp_d4_b396_sym_trace,0.5555274981028352,0.05552749810283519,0.6923076923076923,0.18369901180267334,-0.04022040686598519,matrix_power,65,
mp_d5_b39_sym_trace,0.5539783386659927,0.053978338665992665,0.7076923076923077,0.18371307849884033,-0.05100516153147938,matrix_power,65,
G_Price_Differential_Analyzer,0.5538135455693722,0.053813545569372234,0.7846153846153846,0.15519210696220398,-0.0447946344978894,price_differential,65,115.0
Price_Differential_Ratio,0.5538135455693722,0.053813545569372234,0.7846153846153846,0.15519210696220398,-0.0447946344978894,price_differential,65,404.0
mp_d4_b65_sym_frob,0.5533749603477307,0.053374960347730704,0.6461538461538462,0.17412817478179932,-0.03209342791065367,matrix_power,65,
F4_Price_Ratio,0.5530740968303194,0.053074096830319384,0.7384615384615385,0.17814114689826965,-0.04166984238313603,other,65,
High_Low,0.5520421216273256,0.05204212162732558,0.7692307692307693,0.14611732959747314,-0.044562262437984175,other,65,40.0
intraday_range_pct,0.5520421216273256,0.05204212162732558,0.7692307692307693,0.14611732959747314,-0.044562262437984175,other,65,84.0
percent_range,0.5520421216273256,0.05204212162732558,0.7692307692307693,0.1461172252893448,-0.044562262437984175,other,65,61.0
High_Close,0.5519156067763544,0.05191560677635443,0.7384615384615385,0.15623673796653748,-0.04103578921345997,high_close,65,294.0
atr_percentage,0.5498753578896665,0.04987535788966646,0.7230769230769231,0.1630317121744156,-0.03822736082530968,atr,65,15.0
ATR%,0.5498753578896665,0.04987535788966646,0.7230769230769231,0.1630321443080902,-0.03822736082530968,atr,65,10.0
mp_d4_b267_sym_trace,0.5464713835255893,0.04647138352558933,0.676923076923077,0.14996051788330078,-0.0301190954492104,matrix_power,65,
mp_d4_b291_sym_frob,0.5464097675306103,0.046409767530610324,0.676923076923077,0.1562030017375946,-0.058654695399284806,matrix_power,65,
VWAP%_from_high,0.45569355512815557,0.04430644487184443,0.6615384615384615,-0.1439170241355896,-0.0034516275270341326,distance_to_level,65,186.0
rapid_price_change_zscore,0.541747530178064,0.041747530178063985,0.6923076923076923,0.12344986200332642,-0.040391772973396585,other,65,184.0
Realized_Vol_10d,0.5417262619297893,0.04172626192978934,0.7076923076923077,0.09703391790390015,-0.010726865611322429,volatility,65,276.0
mp_d4_b185_sym_trace,0.5398630047196015,0.03986300471960147,0.6615384615384615,0.12594321370124817,-0.06857927235687485,matrix_power,65,
low_close_ratio,0.5394088091936025,0.039408809193602456,0.6615384615384615,0.15079838037490845,-0.04560752801902062,other,65,5.0
mp_d5_b108_sym_trace,0.5388408806674164,0.03884088066741642,0.6615384615384615,0.12732893228530884,-0.061794688516544787,matrix_power,65,
Log_Return,0.5381783289799774,0.038178328979977416,0.6615384615384615,0.13188287615776062,-0.031384137333760304,momentum/return,65,243.0
mp_d4_b477_skew_trace,0.46231180311781556,0.037688196882184444,0.6153846153846154,-0.13348793983459473,0.04487629909263266,matrix_power,65,
information_rate_of_change,0.5365501577019088,0.036550157701908836,0.676923076923077,0.12546229362487793,-0.044365243060728705,other,65,29.0
mp_d4_b173_sym_top_left,0.5361705552800616,0.036170555280061634,0.6923076923076923,0.13394658267498016,-0.05272951007263062,matrix_power,65,
mp_d4_b306_raw_top_left,0.4640910707635514,0.03590892923644862,0.6307692307692307,-0.0825139507651329,0.05998917694006311,matrix_power,65,
hammer_pattern,0.5353843981537223,0.035384398153722296,0.7076923076923077,0.1568262130022049,-0.0029440320459015634,other,65,569.0
momentum_strength_continuous,0.5346640939175114,0.03466409391751135,0.6307692307692307,0.10379921644926071,-0.04717833585708824,momentum/return,65,301.0
percent_from_high,0.4655828565965121,0.03441714340348789,0.6307692307692307,-0.1228235512971878,-0.01385491437006478,other,65,195.0
return_5d,0.5342115490579239,0.034211549057923896,0.6307692307692307,0.09894923120737076,-0.04833918552049554,momentum/return,65,496.0
rapid_price_change_5d,0.5342115490579239,0.034211549057923896,0.6307692307692307,0.09894923120737076,-0.04833918552049554,other,65,361.0
Realized_Vol_21d,0.5335215758081784,0.03352157580817838,0.6461538461538462,0.11949531733989716,-0.029240702464697788,volatility,65,99.0
VIX_vs_Realized_21d,0.4664784241918217,0.03352157580817833,0.6461538461538462,-0.10807733982801437,0.029240702464697788,vix,65,177.0
trading_signal_composite,0.5333823396086217,0.03338233960862169,0.6153846153846154,0.1061708927154541,-0.05395983833581331,genetic,65,397.0
Price_Differential_Ratio_Diff_10d,0.5330222949685652,0.033022294968565236,0.6307692307692307,0.11358161270618439,-0.018478803345500495,price_differential,65,380.0
dollar_volume_ratio_10d,0.5329588867441774,0.03295888674417735,0.676923076923077,0.09722484648227692,-0.06386743810796548,dollar_volume,65,255.0
Price_Differential_Ratio_PctChange_10d,0.46709947618439646,0.032900523815603544,0.6307692307692307,-0.11357098817825317,0.018812757737733294,price_differential,65,309.0
Price_Differential_Ratio_LogDiff_10d,0.5329005238156035,0.03290052381560349,0.6307692307692307,0.11304543167352676,-0.018812221015016357,price_differential,65,103.0
price_acceleration,0.5325754932776938,0.03257549327769382,0.6307692307692307,0.1017507016658783,-0.02957957151383648,other,65,353.0
Price_Differential_Ratio_InfoDecay_1d,0.46785807015299613,0.03214192984700387,0.7230769230769231,-0.0884382352232933,-0.001090465410014412,price_differential,65,499.0
mp_d5_b169_sym_top_left,0.53157660750658,0.03157660750657998,0.676923076923077,0.14213407039642334,-0.023386948636100687,matrix_power,65,
volume_spike_ratio,0.5315317154672037,0.03153171546720368,0.676923076923077,0.08882927894592285,-0.05988471882454827,volume,65,102.0
trend_consistency_5d,0.5308827384107805,0.030882738410780486,0.6307692307692307,0.09546796977519989,-0.021578205823643806,trend,65,528.0
direction_flipper_count5,0.5308827384107805,0.030882738410780486,0.6307692307692307,0.09546774625778198,-0.021578205823643806,other,65,325.0
open_close_ratio,0.5308432365040392,0.030843236504039195,0.6307692307692307,0.11384398490190506,-0.013252247128559932,other,65,172.0
Rolling_Std_28,0.469274364065319,0.030725635934680973,0.676923076923077,-0.08585276454687119,-0.005502659198281147,volatility,65,469.0
G_Volume_Trend_Analyzer,0.5305436688678267,0.030543668867826668,0.6461538461538462,0.0878756046295166,-0.02263689779624487,volume,65,419.0
Price_Differential_Ratio_Autocorr_1d,0.5303428999791071,0.030342899979107107,0.7076923076923077,0.08969609439373016,0.0027711544659944263,price_differential,65,531.0
Price_Differential_Ratio_LogDiff_1d,0.5302216401672168,0.030221640167216846,0.6,0.0842788890004158,0.01008437834118175,price_differential,65,235.0
Price_Differential_Ratio_PctChange_1d,0.4697819476628635,0.03021805233713648,0.6,-0.08432076126337051,-0.010084185591208713,price_differential,65,209.0
Price_Differential_Ratio_Diff_1d,0.5299087258876031,0.02990872588760307,0.6,0.08459749072790146,0.010073353204340081,price_differential,65,233.0
Price_Differential_Ratio_LogScale_Rank_10d,0.5294542665015107,0.02945426650151073,0.6461538461538462,0.0856994166970253,-0.009917344001009206,price_differential,65,550.0
RSI_HC_Composite_norm,0.4705551820967184,0.029444817903281573,0.6461538461538462,-0.08549319952726364,0.01387581935468102,oscillator,65,213.0
pct_change_std,0.4706811949251775,0.029318805074822485,0.6,-0.1090599074959755,-0.0006348616294646554,other,65,429.0
