sl,tp,ts,ev,total,win,n,pct_hardstop,pct_trail,pct_tp,pct_close
,,,3.2145826797385695,2950.9869000000067,50.54466230936819,918,0.0,0.0,0.0,100.0
,,3.0,-2.9126752047930626,-2673.8358380000313,36.492374727668846,918,0.0,91.06753812636165,0.0,8.932461873638346
,,5.0,-4.011945506535986,-3682.9659750000355,41.17647058823529,918,0.0,62.96296296296296,0.0,37.03703703703704
,,8.0,0.7308961176470778,670.9626360000175,48.5838779956427,918,0.0,21.0239651416122,0.0,78.9760348583878
,,12.0,2.5656426187363883,2355.2599240000045,50.43572984749455,918,0.0,4.357298474945534,0.0,95.64270152505446
,3.0,,-0.8845298954248102,-811.9984439999757,61.111111111111114,918,0.0,0.0,53.812636165577345,46.187363834422655
,3.0,3.0,-4.896410895424845,-4494.905202000007,38.77995642701525,918,0.0,60.67538126361656,37.03703703703704,2.287581699346405
,3.0,5.0,-6.770852667755994,-6215.642749000002,53.05010893246187,918,0.0,38.56209150326798,48.148148148148145,13.28976034858388
,3.0,8.0,-3.3938926557733873,-3115.5934579999694,59.80392156862745,918,0.0,13.28976034858388,53.05010893246187,33.66013071895425
,3.0,12.0,-1.4377296514160953,-1319.8358199999755,61.111111111111114,918,0.0,2.3965141612200433,53.812636165577345,43.790849673202615
,5.0,,-0.8893715032679477,-816.443039999976,53.15904139433552,918,0.0,0.0,34.64052287581699,65.359477124183
,5.0,3.0,-4.578523004357313,-4203.084118000013,36.492374727668846,918,0.0,74.29193899782135,21.459694989106755,4.248366013071895
,5.0,5.0,-7.249049035947722,-6654.627015000009,42.48366013071895,918,0.0,48.910675381263616,30.392156862745097,20.697167755991288
,5.0,8.0,-3.0687731525054116,-2817.1337539999677,51.74291938997821,918,0.0,16.122004357298476,33.98692810457516,49.89106753812636
,5.0,12.0,-1.4359873812635895,-1318.2364159999752,53.15904139433552,918,0.0,3.376906318082789,34.64052287581699,61.98257080610022
,8.0,,1.841244901960808,1690.2628200000217,50.871459694989106,918,0.0,0.0,18.51851851851852,81.48148148148148
,8.0,3.0,-3.9653191045751877,-3640.162938000022,36.492374727668846,918,0.0,83.87799564270153,9.25925925925926,6.862745098039216
,8.0,5.0,-5.346797848583898,-4908.360425000018,41.17647058823529,918,0.0,54.90196078431373,16.122004357298476,28.9760348583878
,8.0,8.0,-1.157924884531557,-1062.9750439999693,48.69281045751634,918,0.0,18.627450980392158,17.973856209150327,63.39869281045751
,8.0,12.0,1.3160878474945774,1208.1686440000221,50.871459694989106,918,0.0,3.7037037037037033,18.51851851851852,77.77777777777779
,12.0,,3.35951623093684,3084.035900000019,50.54466230936819,918,0.0,0.0,8.49673202614379,91.50326797385621
,12.0,3.0,-3.260218124183034,-2992.880238000025,36.492374727668846,918,0.0,88.56209150326796,3.376906318082789,8.061002178649238
,12.0,5.0,-3.618720833333358,-3321.9857250000227,41.17647058823529,918,0.0,58.932461873638346,7.4074074074074066,33.66013071895425
,12.0,8.0,0.7701050501089646,706.9564360000295,48.5838779956427,918,0.0,19.607843137254903,8.49673202614379,71.89542483660131
,12.0,12.0,2.74691037472769,2521.6637240000196,50.54466230936819,918,0.0,3.9215686274509802,8.49673202614379,87.58169934640523
,20.0,,3.334152396514169,3060.751900000007,50.54466230936819,918,0.0,0.0,1.7429193899782136,98.25708061002179
,20.0,3.0,-3.0743224814815164,-2822.228038000032,36.492374727668846,918,0.0,90.74074074074075,0.6535947712418301,8.60566448801743
,20.0,5.0,-3.8709209967320652,-3553.505475000036,41.17647058823529,918,0.0,62.20043572984749,1.3071895424836601,36.492374727668846
,20.0,8.0,0.8685813028322615,797.3576360000161,48.5838779956427,918,0.0,20.47930283224401,1.6339869281045754,77.8867102396514
,20.0,12.0,2.696898610021794,2475.7529240000067,50.43572984749455,918,0.0,4.248366013071895,1.7429193899782136,94.0087145969499
