Date,n_pass,n_universe,pct_universe
2025-07-29,325,4239,7.66690257136117
2025-07-30,253,4239,5.968388770936542
2025-07-31,306,4239,7.218683651804671
2025-08-01,426,4238,10.051911278905145
2025-08-04,458,4239,10.804435008256664
2025-08-05,367,4238,8.659745162812648
2025-08-06,360,4239,8.492569002123142
2025-08-07,352,4239,8.303845246520405
2025-08-08,327,4239,7.714083510261855
2025-08-11,387,4239,9.129511677282377
2025-08-12,367,4239,8.657702288275537
2025-08-13,296,4239,6.9827789573012495
2025-08-14,349,4238,8.235016517225107
2025-08-15,373,4239,8.799245104977588
2025-08-18,343,4239,8.091531021467327
2025-08-19,381,4239,8.987968860580326
2025-08-20,462,4239,10.898796886058031
2025-08-21,431,4239,10.16749233309743
2025-08-22,367,4239,8.657702288275537
2025-08-25,366,4239,8.634111818825195
2025-08-26,399,4239,9.412597310686483
2025-08-27,394,4239,9.294644963434774
2025-08-28,418,4238,9.863142991977348
2025-08-29,396,4235,9.35064935064935
2025-09-02,457,4228,10.808893093661306
2025-09-03,346,4222,8.195168166745619
2025-09-04,374,4218,8.866761498340447
2025-09-05,345,4216,8.183111954459203
2025-09-08,390,4216,9.250474383301707
2025-09-09,376,4216,8.918406072106261
2025-09-10,370,4216,8.776091081593927
2025-09-11,348,4215,8.256227758007118
2025-09-12,324,4221,7.675906183368871
2025-09-15,358,4223,8.477385744731233
2025-09-16,343,4222,8.12411179535765
2025-09-17,365,4221,8.647239990523573
2025-09-18,349,4221,8.268182895048566
2025-09-19,363,4221,8.599857853589196
2025-09-22,368,4219,8.722446077269495
2025-09-23,395,4219,9.362408153590899
2025-09-24,358,4218,8.487434803224277
2025-09-25,389,4215,9.228944246737841
2025-09-26,377,4215,8.944246737841045
2025-09-29,355,4215,8.422301304863582
2025-09-30,366,4213,8.68739615475908
2025-10-01,369,4212,8.76068376068376
2025-10-02,367,4210,8.717339667458432
2025-10-03,363,4209,8.624376336421953
2025-10-06,335,4208,7.9610266159695815
2025-10-07,356,4205,8.466111771700357
2025-10-08,299,4204,7.112274024738345
2025-10-09,312,4204,7.421503330161751
2025-10-10,335,4202,7.9723940980485475
2025-10-13,386,4202,9.186101856258924
2025-10-14,399,4202,9.495478343645884
2025-10-15,376,4202,8.94811994288434
2025-10-16,358,4202,8.51975249881009
2025-10-17,397,4202,9.447881960970966
2025-10-20,416,4200,9.904761904761905
2025-10-21,416,4198,9.909480705097666
2025-10-22,408,4197,9.721229449606863
2025-10-23,371,4195,8.843861740166865
2025-10-24,357,4195,8.510131108462456
2025-10-27,359,4195,8.557806912991657
2025-10-28,361,4193,8.609587407584069
2025-10-29,402,4192,9.58969465648855
2025-10-30,410,4191,9.782868050584586
2025-10-31,389,4187,9.29066157153093
2025-11-03,400,4186,9.555661729574773
2025-11-04,385,4186,9.197324414715718
2025-11-05,398,4186,9.507883420926898
2025-11-06,400,4185,9.55794504181601
2025-11-07,357,4185,8.530465949820789
2025-11-10,363,4183,8.677982309347358
2025-11-11,404,4181,9.662760105237982
2025-11-12,403,4176,9.650383141762452
2025-11-13,377,4174,9.032103497843796
2025-11-14,347,4173,8.31536065180925
2025-11-17,376,4169,9.018949388342529
2025-11-18,445,4166,10.681709073451753
2025-11-19,433,4165,10.396158463385353
2025-11-20,433,4163,10.401153014652895
2025-11-21,444,4162,10.6679481018741
2025-11-24,455,4162,10.932244113407016
2025-11-25,440,4158,10.582010582010582
2025-11-26,415,4158,9.98075998075998
2025-11-28,309,4155,7.436823104693141
2025-12-01,418,4154,10.06259027443428
2025-12-02,397,4154,9.557053442465094
2025-12-03,344,4152,8.285163776493256
2025-12-04,366,4152,8.815028901734104
2025-12-05,392,4152,9.441233140655106
2025-12-08,416,4146,10.033767486734202
2025-12-09,394,4142,9.51231289232255
2025-12-10,367,4141,8.862593576430813
2025-12-11,368,4137,8.895334783659656
2025-12-12,376,4137,9.088711626782693
2025-12-15,376,4133,9.097507863537382
2025-12-16,348,4132,8.422071636011616
2025-12-17,395,4132,9.559535333978703
2025-12-18,364,4127,8.81996607705355
2025-12-19,352,4127,8.529197964623213
2025-12-22,381,4124,9.238603297769156
2025-12-23,340,4124,8.244422890397672
2025-12-24,363,4119,8.812818645302258
2025-12-26,348,4114,8.458920758385998
2025-12-29,359,4114,8.726300437530384
2025-12-30,350,4114,8.50753524550316
2025-12-31,293,4114,7.122022362664074
2026-01-02,314,4112,7.636186770428016
2026-01-05,334,4110,8.126520681265207
2026-01-06,331,4102,8.069234519746466
2026-01-07,326,4102,7.947342759629448
2026-01-08,342,4102,8.3373963920039
2026-01-09,333,4102,8.117991223793272
2026-01-12,347,4101,8.461350890026823
2026-01-13,344,4101,8.388198000487685
2026-01-14,314,4099,7.660404976823615
2026-01-15,349,4097,8.51842811813522
2026-01-16,348,4092,8.504398826979472
2026-01-20,356,4092,8.699902248289346
2026-01-21,334,4089,8.168256297383223
2026-01-22,335,4086,8.198727361722955
2026-01-23,333,4086,8.149779735682818
2026-01-26,340,4085,8.32313341493268
2026-01-27,325,4085,7.9559363525091795
2026-01-28,345,4074,8.468335787923417
2026-01-29,291,4074,7.142857142857142
2026-01-30,304,4075,7.460122699386503
2026-02-02,330,4074,8.100147275405007
2026-02-03,297,4071,7.295504789977893
2026-02-04,281,4066,6.9109690113133295
2026-02-05,268,4066,6.591244466305953
2026-02-06,297,4066,7.304476143630104
2026-02-09,293,4064,7.209645669291338
2026-02-10,306,4059,7.5388026607538805
2026-02-11,261,4059,6.430155210643015
2026-02-12,279,4058,6.875308033514046
2026-02-13,300,4055,7.398273736128237
2026-02-17,296,4054,7.301430685742477
2026-02-18,311,4054,7.6714356191415884
2026-02-19,318,4052,7.847976307996052
2026-02-20,329,4052,8.119447186574531
2026-02-23,317,4050,7.827160493827161
2026-02-24,323,4049,7.977278340330946
2026-02-25,328,4040,8.118811881188119
2026-02-26,323,4040,7.9950495049504955
2026-02-27,305,4041,7.547636723583271
2026-03-02,330,4041,8.166295471417966
2026-03-03,344,4040,8.514851485148515
2026-03-04,320,4039,7.922753156721961
2026-03-05,399,4038,9.881129271916791
2026-03-06,387,4038,9.583952451708768
2026-03-09,407,4038,10.079247152055473
2026-03-10,386,4035,9.566294919454771
2026-03-11,410,4035,10.161090458488228
2026-03-12,404,4030,10.024813895781639
2026-03-13,462,4030,11.464019851116625
2026-03-16,446,4030,11.066997518610421
2026-03-17,477,4027,11.845045939905637
2026-03-18,403,4023,10.017399950285856
2026-03-19,428,4024,10.636182902584492
2026-03-20,428,4021,10.644118378512808
2026-03-23,468,4021,11.638895797065407
2026-03-24,433,4021,10.768465555831883
2026-03-25,427,4019,10.624533466036327
2026-03-26,454,4019,11.296342373724807
2026-03-27,429,4020,10.671641791044777
2026-03-30,497,4019,12.3662602637472
2026-03-31,475,4003,11.86610042468149
2026-04-01,483,4003,12.065950537097176
2026-04-02,490,4003,12.240819385460904
2026-04-06,478,4003,11.941044216837373
2026-04-07,452,4003,11.291531351486386
2026-04-08,489,4003,12.215838121408943
2026-04-09,466,4003,11.64126904821384
2026-04-10,430,4003,10.741943542343241
2026-04-13,389,4003,9.71771171621284
2026-04-14,398,4004,9.94005994005994
2026-04-15,419,4002,10.469765117441279
2026-04-16,396,4003,9.892580564576567
2026-04-17,296,4000,7.3999999999999995
2026-04-20,338,4001,8.447888027993002
2026-04-21,397,4001,9.922519370157461
2026-04-22,364,4000,9.1
2026-04-23,397,3996,9.934934934934935
2026-04-24,380,3996,9.50950950950951
2026-04-27,412,3994,10.315473209814723
2026-04-28,375,3991,9.396141317965421
2026-04-29,368,3980,9.246231155778894
2026-04-30,355,3980,8.919597989949748
2026-05-01,341,3980,8.5678391959799
2026-05-04,381,3980,9.57286432160804
2026-05-05,329,3980,8.266331658291458
2026-05-06,313,3980,7.864321608040201
2026-05-07,318,3977,7.995976866985164
2026-05-08,305,3975,7.672955974842767
2026-05-11,329,3973,8.280896048326202
2026-05-12,319,3969,8.037288989669943
2026-05-13,322,3969,8.112874779541446
2026-05-14,357,3969,8.994708994708994
2026-05-15,395,3960,9.974747474747476
2026-05-18,412,3960,10.404040404040405
2026-05-19,436,3960,11.01010101010101
2026-05-20,399,3960,10.075757575757576
2026-05-21,417,3959,10.532962869411469
2026-05-22,381,3959,9.623642333922708
2026-05-26,382,3958,9.651339060131379
2026-05-27,364,3956,9.201213346814964
2026-05-28,333,3954,8.42185128983308
2026-05-29,338,3953,8.550467998988111
