Date,n_pass,n_universe,pct_universe
2025-05-01,733,4237,17.299976398395092
2025-05-02,654,4238,15.431807456347332
2025-05-05,662,4237,15.62426244984659
2025-05-06,707,4237,16.68633467075761
2025-05-07,693,4239,16.348195329087048
2025-05-08,658,4239,15.522528898325078
2025-05-09,690,4238,16.281264747522417
2025-05-12,585,4239,13.800424628450106
2025-05-13,485,4236,11.449480642115203
2025-05-14,518,4236,12.22851746931067
2025-05-15,560,4237,13.21689874911494
2025-05-16,556,4238,13.119395941481832
2025-05-19,589,4238,13.89806512505899
2025-05-20,541,4238,12.765455403492213
2025-05-21,656,4238,15.478999528079282
2025-05-22,585,4236,13.810198300283286
2025-05-23,658,4239,15.522528898325078
2025-05-27,608,4237,14.349775784753364
2025-05-28,604,4238,14.252005663048608
2025-05-29,529,4237,12.48524899693179
2025-05-30,592,4236,13.975448536355051
2025-06-02,491,4237,11.588388010384707
2025-06-03,481,4239,11.34701580561453
2025-06-04,521,4239,12.290634583628215
2025-06-05,547,4238,12.90703161868806
2025-06-06,545,4237,12.862874675477935
2025-06-09,527,4239,12.432177400330266
2025-06-10,511,4237,12.060420108567381
2025-06-11,505,4238,11.91599811231713
2025-06-12,505,4239,11.913187072422742
2025-06-13,612,4238,14.440773949976403
2025-06-16,506,4237,11.942412084021715
2025-06-17,561,4239,13.234253361641896
2025-06-18,524,4238,12.364322793770647
2025-06-20,509,4239,12.007548950224109
2025-06-23,581,4239,13.706062750648737
2025-06-24,531,4239,12.526539278131635
2025-06-25,530,4238,12.505899008966493
2025-06-26,499,4238,11.774421897121282
2025-06-27,419,4239,9.884406699693324
2025-06-30,508,4239,11.983958480773767
2025-07-01,494,4239,11.653691908468979
2025-07-02,390,4238,9.202453987730062
2025-07-03,329,4238,7.763095799905615
2025-07-07,489,4239,11.53573956121727
2025-07-08,450,4239,10.615711252653929
2025-07-09,435,4239,10.261854210898797
2025-07-10,356,4239,8.398207124321774
2025-07-11,417,4238,9.839546956111374
2025-07-14,407,4239,9.601321066289218
2025-07-15,441,4239,10.40339702760085
2025-07-16,486,4239,11.464968152866243
2025-07-17,316,4238,7.4563473336479476
2025-07-18,395,4238,9.320434167059934
2025-07-21,443,4239,10.450577966501532
2025-07-22,369,4239,8.70488322717622
2025-07-23,286,4239,6.746874262797829
2025-07-24,323,4239,7.619721632460486
2025-07-25,384,4239,9.058740268931352
2025-07-28,254,4239,5.9919792403868835
